Episode_Return,Episode_Return_smooth,env_step
58.0,16.979999999999997,12500
31.0,17.34,12750
53.0,18.08,13000
34.0,18.5,13250
18.0,18.56,13500
21.0,18.72,13750
25.0,19.000000000000004,14000
18.0,19.06,14250
33.0,19.56,14500
31.0,19.98,14750
58.0,20.98,15000
18.0,21.16,15250
14.0,21.24,15500
16.0,21.36,15750
13.0,21.420000000000005,16000
22.0,21.66,16250
12.0,21.68,16500
14.0,21.8,16750
19.0,21.96,17000
67.0,23.12,17250
25.0,23.44,17500
68.0,24.58,17750
38.0,24.940000000000005,18000
14.0,25.02,18250
60.0,26.020000000000003,18500
86.0,27.48,18750
33.0,27.880000000000003,19000
73.0,29.06,19250
72.0,30.300000000000004,19500
38.0,30.84,19750
147.0,33.6,20000
64.0,34.620000000000005,20250
57.0,35.32,20500
58.0,36.06,20750
52.0,36.8,21000
59.0,37.68,21250
79.0,39.08,21500
83.0,40.4,21750
16.0,40.38,22000
32.0,40.72,22250
16.0,40.78,22500
26.0,40.940000000000005,22750
43.0,41.580000000000005,23000
39.0,42.12,23250
43.0,42.21999999999999,23500
75.0,43.10000000000001,23750
41.0,43.42000000000001,24000
49.0,43.68000000000001,24250
19.0,43.48,24500
62.0,42.84,24750
42.0,42.52,25000
34.0,42.58,25250
23.0,41.98,25500
48.0,42.25999999999999,25750
24.0,42.38,26000
37.0,42.7,26250
42.0,43.04,26500
25.0,43.17999999999999,26750
35.0,43.22,27000
77.0,44.14,27250
76.0,44.50000000000001,27500
37.0,44.88,27750
50.0,45.6,28000
56.0,46.4,28250
40.0,46.940000000000005,28500
35.0,47.2,28750
27.0,47.5,29000
57.0,48.36,29250
59.0,49.16,29500
43.0,48.68,29750
48.0,49.13999999999999,30000
46.0,48.7,30250
45.0,48.84,30500
57.0,49.70000000000001,30750
85.0,50.2,31000
83.0,50.13999999999999,31250
38.0,50.24,31500
41.0,49.6,31750
33.0,48.81999999999999,32000
41.0,48.88,32250
47.0,46.88,32500
87.0,47.34,32750
65.0,47.5,33000
67.0,47.68,33250
48.0,47.6,33500
53.0,47.48,33750
105.0,48.0,34000
63.0,47.6,34250
87.0,49.02,34500
85.0,50.08,34750
138.0,52.52,35000
48.0,52.96,35250
111.0,54.31999999999999,35500
88.0,55.3,35750
89.0,56.22,36000
53.0,55.78,36250
88.0,56.72,36500
238.0,60.5,36750
94.0,61.99999999999999,37000
162.0,64.0,37250
102.0,65.2,37500
113.0,66.78,37750
222.0,70.75999999999999,38000
120.0,72.2,38250
150.0,74.72000000000001,38500
84.0,75.66000000000001,38750
84.0,76.5,39000
104.0,78.08,39250
96.0,79.3,39500
112.0,80.0,39750
187.0,82.22,40000
120.0,83.88,40250
133.0,85.54,40500
189.0,88.2,40750
207.0,91.54,41000
162.0,94.08,41250
104.0,95.62,41500
172.0,97.92,41750
295.0,102.64,42000
216.0,106.1,42250
351.0,112.16,42500
130.0,113.84,42750
152.0,115.98,43000
147.0,117.78000000000002,43250
234.0,120.76,43500
392.0,126.94,43750
500.0,136.18,44000
500.0,145.36,44250
500.0,154.70000000000002,44500
500.0,163.87999999999997,44750
253.0,168.0,45000
500.0,176.25999999999996,45250
500.0,184.96,45500
500.0,193.62,45750
286.0,198.38,46000
256.0,202.44,46250
179.0,203.92,46500
216.0,206.98,46750
363.0,212.5,47000
500.0,220.8,47250
488.0,227.8,47500
500.0,236.84000000000003,47750
500.0,244.62,48000
500.0,252.86,48250
500.0,261.08,48500
309.0,266.2,48750
413.0,272.7,49000
170.0,271.34,49250
180.0,273.06,49500
373.0,277.28000000000003,49750
220.0,279.64,50000
265.0,282.68,50250
218.0,282.6,50500
309.0,286.38,50750
186.0,287.1,51000
211.0,289.64,51250
266.0,293.28000000000003,51500
214.0,295.48,51750
369.0,300.94,52000
393.0,306.56,52250
299.0,308.79999999999995,52500
296.0,312.32,52750
209.0,313.84000000000003,53000
155.0,313.16,53250
212.0,313.26,53500
154.0,313.1,53750
233.0,315.67999999999995,54000
209.0,316.42,54250
268.0,315.88,54500
